日期 - date,滚动市盈率 - pe_ttm,滚动扣非市盈率 - koufei_pe_ttm,滚动市净率 - pb_ttm,动态市销率 - ps_ttm,动态股息收益率 % - dividend_yield,ROE %,总市值 - total market cap,A股总市值 - A gu zong shi zhi,收盘价(前复权) - close price,开盘价-open,最高价-high,最低价-low,涨跌幅-up
2019-03-06,54.31,84.26,6.2,7.37,0.0,11.41,2001.86,2001.86,90.7,92.61,93.29,88.89,-1.51%
2019-03-05,55.14,85.56,6.29,7.48,0.0,11.41,2032.59,2032.59,92.09,91.87,92.47,90.7,0.23%
2019-03-04,55.02,85.36,6.28,7.47,0.0,11.41,2027.98,2027.98,91.88,91.0,94.64,90.23,2.62%
2019-03-01,53.61,83.18,6.12,7.28,0.0,11.41,1976.17,1976.17,89.54,90.6,92.37,88.91,2.66%
2019-02-28,52.23,81.03,5.96,7.09,0.0,11.41,1925.03,1925.03,87.22,85.54,88.69,85.54,1.92%
2019-02-27,51.24,79.51,5.85,6.95,0.0,11.41,1888.81,1888.81,85.58,87.22,88.9,84.83,-2.77%
2019-02-26,52.7,81.77,6.01,7.15,0.0,11.41,1942.59,1942.59,88.02,89.51,90.3,87.2,-3.09%
2019-02-25,54.38,84.38,6.21,7.38,0.0,11.41,2004.49,2004.49,90.82,85.3,91.16,85.3,8.24%
2019-02-22,50.24,77.95,5.73,6.82,0.0,11.41,1851.94,1851.94,83.91,82.55,84.83,81.66,1.25%
2019-02-21,49.62,76.99,5.66,6.73,0.0,11.41,1829.11,1829.11,82.87,82.25,84.4,81.85,0.19%
2019-02-20,49.53,76.85,5.65,6.72,0.0,11.41,1825.6,1825.6,82.71,82.35,84.04,81.65,1.07%
2019-02-19,49.0,76.03,5.59,6.65,0.0,11.41,1806.28,1806.28,81.84,84.2,84.32,81.35,-2.57%
2019-02-18,50.3,78.04,5.74,6.83,0.0,11.41,1853.91,1853.91,84.0,82.69,84.41,82.11,2.48%
2019-02-15,49.08,76.15,5.6,6.66,0.0,11.41,1809.13,1809.13,81.97,83.94,85.53,81.95,-2.71%
2019-02-14,50.45,78.28,5.76,6.85,0.0,11.41,1859.62,1859.62,84.26,81.05,88.39,80.9,3.7%
2019-02-13,48.65,75.49,5.55,6.6,0.0,11.41,1793.33,1793.33,81.25,80.36,83.11,79.93,0.86%
2019-02-12,48.24,74.84,5.5,6.55,0.0,11.41,1777.96,1777.96,80.56,80.06,81.15,79.59,0.0%
2019-02-11,48.24,74.84,5.5,6.55,0.0,11.41,1777.96,1777.96,80.56,78.56,80.93,78.55,3.32%
2019-02-01,46.69,72.44,5.33,6.34,0.0,11.41,1720.89,1720.89,77.97,76.25,78.74,75.78,3.0%
2019-01-31,45.33,70.33,5.17,6.15,0.0,11.41,1670.85,1670.85,75.7,75.85,77.34,75.63,-0.1%
2019-01-30,45.38,70.41,5.18,6.16,0.0,11.41,1672.6,1672.6,75.78,73.92,76.94,73.21,-0.63%
2019-01-29,45.66,70.85,5.21,6.2,0.0,11.41,1683.14,1683.14,76.26,75.84,76.97,73.69,0.8%
2019-01-28,45.3,70.28,5.17,6.15,0.0,11.41,1669.75,1669.75,75.65,77.67,77.83,75.6,-1.77%
2019-01-25,46.12,71.55,5.26,6.26,0.0,11.41,1699.82,1699.82,77.02,75.23,78.36,74.76,3.02%
2019-01-24,44.76,69.45,5.11,6.07,0.0,11.41,1649.99,1649.99,74.76,74.59,75.44,74.29,-0.36%
2019-01-23,44.93,69.7,5.13,6.1,0.0,11.41,1655.92,1655.92,75.03,73.85,75.25,73.6,1.58%
2019-01-22,44.23,68.62,5.05,6.0,0.0,11.41,1630.24,1630.24,73.86,74.59,75.26,73.62,-1.29%
2019-01-21,44.81,69.52,5.11,6.08,0.0,11.41,1651.53,1651.53,74.83,74.62,75.22,73.85,-0.21%
2019-01-18,44.9,69.67,5.12,6.09,0.0,11.41,1655.04,1655.04,74.99,76.74,76.74,73.59,-1.64%
2019-01-17,45.65,70.83,5.21,6.2,0.0,11.41,1682.7,1682.7,76.24,76.53,77.26,75.99,-0.01%
2019-01-16,45.66,70.84,5.21,6.2,0.0,11.41,1682.92,1682.92,76.25,76.48,76.78,75.99,-0.9%
2019-01-15,46.07,71.49,5.26,6.25,0.0,11.41,1698.28,1698.28,76.95,75.58,77.06,74.44,1.7%
2019-01-14,45.31,70.29,5.17,6.15,0.0,11.41,1669.97,1669.97,75.66,74.89,75.91,73.89,1.05%
2019-01-11,44.84,69.56,5.12,6.08,0.0,11.41,1652.63,1652.63,74.88,76.18,76.33,74.39,-1.3%
2019-01-10,45.43,70.48,5.18,6.16,0.0,11.41,1674.36,1674.36,75.86,77.21,77.42,75.6,-2.18%
2019-01-09,46.44,72.05,5.3,6.3,0.0,11.41,1711.67,1711.67,77.55,76.58,77.78,74.77,-1.7%
2019-01-08,47.24,73.3,5.39,6.41,0.0,11.41,1741.31,1741.31,78.9,76.8,79.01,76.78,2.47%
2019-01-07,46.1,71.53,5.26,6.26,0.0,11.41,1699.38,1699.38,77.0,76.52,77.22,75.88,0.6%
2019-01-04,45.83,71.11,5.23,6.22,0.0,11.41,1689.29,1689.29,76.54,72.93,76.82,72.83,4.24%
2019-01-03,43.97,68.22,5.02,5.97,0.0,11.41,1620.58,1620.58,73.43,72.11,74.13,72.11,0.23%
2019-01-02,43.87,68.06,5.01,5.95,0.0,11.41,1616.85,1616.85,73.26,73.84,74.56,73.13,-0.19%
2018-12-28,43.95,68.19,5.02,5.96,0.0,11.41,1619.92,1619.92,73.4,75.28,76.2,73.4,-2.61%
2018-12-27,45.13,70.02,5.15,6.12,0.0,11.41,1663.38,1663.38,75.36,76.78,77.06,75.36,-0.16%
2018-12-26,45.2,70.13,5.16,6.13,0.0,11.41,1666.02,1666.02,75.48,76.78,77.47,75.12,-1.68%
2018-12-25,45.97,71.33,5.25,6.24,0.0,11.41,1694.55,1694.55,76.78,76.62,77.31,75.24,-1.06%
2018-12-24,46.47,72.1,5.3,6.31,0.0,11.41,1712.77,1712.77,77.6,77.25,78.81,76.59,-0.6%
2018-12-21,46.75,72.53,5.33,6.34,0.0,11.41,1723.09,1723.09,78.07,77.11,78.07,75.19,1.5%
2018-12-20,46.06,71.46,5.26,6.25,0.0,11.41,1697.63,1697.63,76.92,78.94,78.95,75.81,-2.72%
2018-12-19,47.34,73.45,5.4,6.42,0.0,11.41,1745.04,1745.04,79.06,78.73,81.25,77.91,-0.06%
2018-12-18,47.37,73.5,5.41,6.43,0.0,11.41,1746.14,1746.14,79.11,78.57,80.15,78.25,-0.76%
2018-12-17,47.74,74.06,5.45,6.48,0.0,11.41,1759.53,1759.53,79.72,78.37,80.05,76.58,1.03%
2018-12-14,47.25,73.31,5.39,6.41,0.0,11.41,1741.53,1741.53,78.91,81.48,82.03,78.88,-3.37%
2018-12-13,48.9,75.87,5.58,6.64,0.0,11.41,1802.33,1802.33,81.66,81.47,81.82,80.14,0.75%
2018-12-12,48.53,75.3,5.54,6.59,0.0,11.41,1788.94,1788.94,81.05,78.91,81.53,78.57,3.74%
2018-12-11,46.78,72.59,5.34,6.35,0.0,11.41,1724.41,1724.41,78.13,78.07,78.75,77.39,0.34%
2018-12-10,46.62,72.34,5.32,6.33,0.0,11.41,1718.48,1718.48,77.86,79.01,79.93,76.38,-1.77%
2018-12-07,47.46,73.64,5.42,6.44,0.0,11.41,1749.43,1749.43,79.26,78.75,80.02,78.75,0.87%
2018-12-06,47.05,73.0,5.37,6.38,0.0,11.41,1734.28,1734.28,78.58,80.36,81.83,78.57,-2.9%
2018-12-05,48.46,75.18,5.53,6.58,0.0,11.41,1786.09,1786.09,80.92,80.56,82.15,80.16,-1.13%
2018-12-04,49.01,76.04,5.59,6.65,0.0,11.41,1806.5,1806.5,81.85,79.76,82.62,79.6,1.79%
